😀  grinning (grinning face)
🗧  three rays right
🗨  left speech bubble
🗩  right speech bubble
🗪  two speech bubbles
🗫  three speech bubbles
🗬  left thought bubble
🗭  right thought bubble
🗮  left anger bubble
🗯  right anger bubble
🗰  mood bubble
🗱  lightning mood bubble
🗲  lightning mood
🗳  ballot box with ballot
🗴  ballot script x
🗵  ballot box with script x
🗶  ballot bold script x
🗷  ballot box with bold script x
🗸  light check mark
🗹  ballot box with bold check
🗺  world map (world map)
🗻  mount fuji
🗼  eiffel tower (tokyo tower)
🗽  statue of liberty (statue of liberty)
🗾  silhouette of japan
🗿  moyai
🚀  rocket (rocket)
🚁  helicopter
🚂  train (steam locomotive)
🚃  railway car
🚄  high-speed train
🚅  high-speed train with bullet nose
🚆  train
🚇  metro
🚈  light rail
🚉  station
🚊  tram
🚋  tram car
🚌  bus (bus)
🚍  oncoming bus
🚎  trolleybus
🚏  bus stop
🚐  minibus
🚑  ambulance
🚒  fire engine
🚓  police car
🚔  oncoming police car
🚕  taxi (taxi)
🚖  oncoming taxi
🚗  car (automobile)
🚘  oncoming automobile
🚙  recreational vehicle
🚚  delivery truck
🚛  articulated lorry
🚜  tractor
🚝  monorail
🚞  mountain railway
🚟  suspension railway
🚠  mountain cableway
🚡  aerial tramway
🚢  ship
🚣  rowboat
🚤  speedboat
🚥  horizontal traffic light
🚦  vertical traffic light
🚧  construction sign
🚨  police cars revolving light
🚩  triangular flag on post
🚪  door
🚫  no entry (no entry sign)
🚬  smoking symbol
🚭  no smoking symbol
🚮  put litter in its place symbol
🚯  do not litter symbol
🚰  potable water symbol
🚱  non-potable water symbol
🚲  bike (bicycle)
🚳  no bicycles
🚴  cyclist (bicyclist)
🚵  mountain bicyclist
🚶  walking (pedestrian)
🚷  no pedestrians
🚸  children crossing
🚹  mens symbol
🚺  womens symbol
🚻  restroom
🚼  baby symbol
🚽  toilet
🚾  water closet
🚿  shower
🛀  bath
🛁  bathtub
🛂  passport control
🛃  customs
🛄  baggage claim
🛅  left luggage
🛆  triangle with rounded corners
🛇  prohibited sign
🛈  circled information source
🛉  boys symbol
🛊  girls symbol
🛋  couch and lamp
🛌  sleeping accommodation
🛍  shopping bags
🛎  bellhop bell
🛏  bed
🛐  place of worship
🛑  octagonal sign
🛒  shopping trolley
🛓  stupa
🛔  pagoda
🛕  hindu temple
🛖  hut
🛗  elevator
🛠  hammer and wrench
🛡  shield
🛢  oil drum
🛣  motorway
🛤  railway track
🛥  motor boat
🛦  up-pointing military airplane
🛧  up-pointing airplane
🛨  up-pointing small airplane
🛩  small airplane
🛪  northeast-pointing airplane
🛫  airplane departure
🛬  airplane arriving
🛰  satellite
🛱  oncoming fire engine
🛲  diesel locomotive
🛳  passenger ship
🛴  scooter
🛵  motor scooter
🛶  canoe
🛷  sled
🛸  UFO (flying saucer)
🛹  skateboard
🛺  auto rickshaw
🛻  pickup truck
🛼  roller skate
🤀  circled cross formee with four dots
🤁  circled cross formee with two dots
🤂  circled cross formee
🤃  left half circle with four dots
🤄  left half circle with three dots
🤅  left half circle with two dots
🤆  left half circle with dot
🤇  left half circle
🤈  downward facing hook
🤉  downward facing notched hook
🤊  downward facing hook with dot
🤋  downward facing notched hook with dot
🤌  pinched fingers (pinched fingers)
🤍  white heart (white heart)
🤎  brown heart (brown heart)
🤏  pinch (pinching hand)
🤐  zipper mouth (zipper-mouth face)
🤑  money mouth (money-mouth face)
🤒  sick (face with thermometer)
🤓  nerd (nerd face)
🤔  thinking (thinking face)
🤕  injured (face with head-bandage)
🤖  robot face
🤗  hugging (hugging face)
🤘  rock on (sign of the horns)
🤙  call me (call me hand)
🤚  stop (raised back of hand)
🤛  left fist (left-facing fist)
🤜  right fist (right-facing fist)
🤝  handshake (handshake)
🤞  crossed fingers (hand with index and middle fingers crossed)
🤟  ILY (i love you hand sign)
🤠  cowboy (face with cowboy hat)
🤡  clown (clown face)
🤢  nauseous (nauseated face)
🤣  rofl (rolling on the floor laughing)
🤤  drooling (drooling face)
🤥  liar (lying face)
🤦  face palm
🤧  sneezing (sneezing face)
🤨  raised eyebrow (face with one eyebrow raised)
🤩  starstruck (grinning face with star eyes)
🤪  zany (grinning face with one large and one small eye)
🤫  shushing (face with finger covering closed lips)
🤬  cursing (serious face with symbols covering mouth)
🤭  giggle (smiling face with smiling eyes and hand covering mouth)
🤮  face with open mouth vomiting
🤯  mindblown (shocked face with exploding head)
🤰  pregnant woman
🤱  breast-feeding
🤲  cupped hands (palms up together)
🤳  selfie
🤴  prince (prince)
🤵  man in tuxedo
🤶  mrs claus (mother christmas)
🤷  shrug
🤸  cartwheel (person doing cartwheel)
🤹  juggling
🤺  fencer
🤻  modern pentathlon
🤼  wrestlers
🤽  water polo
🤾  handball (handball)
🤿  diving mask
🥀  wilted flower
🥁  drum with drumsticks
🥂  cheers (clinking glasses)
🥃  whiskey (tumbler glass)
🥄  spoon
🥅  goal net
🥆  rifle
🥇  gold medal (first place medal)
🥈  silver medal (second place medal)
🥉  bronze medal (third place medal)
🥊  boxing glove
🥋  martial arts uniform
🥌  curling stone
🥍  lacrosse stick and ball
🥎  softball
🥏  flying disc
🥐  croissant
🥑  avocado (avocado)
🥒  cucumber
🥓  bacon
🥔  potato
🥕  carrot
🥖  baguette bread
🥗  green salad
🥘  shallow pan of food
🥙  stuffed flatbread
🥚  egg
🥛  glass of milk
🥜  peanuts
🥝  kiwifruit
🥞  pancakes
🥟  dumpling
🥠  fortune cookie
🥡  takeout box
🥢  chopsticks
🥣  bowl with spoon
🥤  cup with straw (cup with straw)
🥥  coconut
🥦  broccoli
🥧  pie
🥨  pretzel
🥩  cut of meat
🥪  sandwich
🥫  canned food
🥬  leafy green
🥭  mango
🥮  moon cake
🥯  bagel
🥰  smiling face with smiling eyes and three hearts
🥱  yawning face
🥲  smiling with tear (smiling face with tear)
🥳  face with party horn and party hat
🥴  woozy (face with uneven eyes and wavy mouth)
🥵  hot face (overheated face)
🥶  cold face (freezing face)
🥷  ninja (ninja)
🥸  disguised (disguised face)
🥺  pleading (face with pleading eyes)
🥻  sari
🥼  lab coat
🥽  goggles
🥾  hiking boot
🥿  flat shoe
🦀  crab (crab)
🦁  lion (lion face)
🦂  scorpion (scorpion)
🦃  turkey (turkey)
🦄  unicorn (unicorn face)
🦅  eagle (eagle)
🦆  quack (duck)
🦇  bat (bat)
🦈  shark (shark)
🦉  owl (owl)
🦊  fox (fox face)
🦋  butterfly (butterfly)
🦌  deer (deer)
🦍  gorilla (gorilla)
🦎  lizard (lizard)
🦏  rhinoceros
🦐  shrimp
🦑  squid (squid)
🦒  giraffe (giraffe face)
🦓  zebra (zebra face)
🦔  hedgehog (hedgehog)
🦕  sauropod
🦖  t-rex
🦗  cricket
🦘  kangaroo (kangaroo)
🦙  llama (llama)
🦚  peacock (peacock)
🦛  hippopotamus
🦜  parrot (parrot)
🦝  raccoon (raccoon)
🦞  lobster
🦟  mosquito
🦠  microbe
🦡  badger
🦢  swan (swan)
🦣  mammoth
🦤  dodo
🦥  sloth (sloth)
🦦  otter (otter)
🦧  orangutan
🦨  skunk (skunk)
🦩  flamingo (flamingo)
🦪  oyster
🦫  beaver
🦬  bison
🦭  seal
🦮  guide dog
🦯  probing cane
🦰  emoji component red hair
🦱  emoji component curly hair
🦲  emoji component bald
🦳  emoji component white hair
🦴  bone
🦵  leg
🦶  foot
🦷  tooth
🦸  superhero (superhero)
🦹  supervillain (supervillain)
🦺  safety vest
🦻  ear with hearing aid
🦼  motorized wheelchair
🦽  manual wheelchair
🦾  mechanical arm
🦿  mechanical leg
🧀  cheese wedge
🧁  cupcake
🧂  salt shaker
🧃  juice box (beverage box)
🧄  garlic
🧅  onion
🧆  falafel
🧇  waffle
🧈  butter
🧉  mate drink
🧊  ice (ice cube)
🧋  bubble tea
🧍  standing person
